Iterations;PopulationSize;Pc;Pm;Pi;ElapsedMilliseconds;BestGen;BestFitness
25000;50;0,9;0,1;0,2;31735;13834;697
25000;50;0,9;0,3;0,05;32416;23464;745
25000;50;0,9;0,3;0,1;32584;24759;832
25000;50;0,9;0,3;0,2;32712;24835;772
25000;50;0,9;0,5;0,05;32759;24145;1047
25000;50;0,9;0,5;0,1;32664;24818;864
25000;50;0,9;0,5;0,2;32894;23254;854
25000;50;0,7;0,1;0,05;28063;10041;606
25000;50;0,7;0,1;0,1;28010;23678;641
25000;50;0,7;0,1;0,2;28388;22738;686
25000;50;0,7;0,3;0,05;28361;23125;701
25000;50;0,7;0,3;0,1;28294;23300;624
25000;50;0,7;0,3;0,2;28726;24489;724
25000;50;0,7;0,5;0,05;28984;23255;864
25000;50;0,7;0,5;0,1;28945;21725;770
25000;50;0,7;0,5;0,2;28970;24895;784
25000;50;0,5;0,1;0,05;24123;13156;719
25000;50;0,5;0,1;0,1;24373;18298;657
25000;50;0,5;0,1;0,2;24429;15483;735
25000;50;0,5;0,3;0,05;24504;22613;670
25000;50;0,5;0,3;0,1;24349;16847;654
25000;50;0,5;0,3;0,2;24517;11610;624
25000;50;0,5;0,5;0,05;24798;21804;664
25000;50;0,5;0,5;0,1;24997;24257;801
25000;50;0,5;0,5;0,2;24984;22721;739
25000;100;0,9;0,1;0,05;65716;11578;665
25000;100;0,9;0,1;0,1;63391;17400;614
25000;100;0,9;0,1;0,2;63371;16674;584
25000;100;0,9;0,3;0,05;64981;16414;613
25000;100;0,9;0,3;0,1;66196;21638;609
25000;100;0,9;0,3;0,2;66007;24554;962
25000;100;0,9;0,5;0,05;65477;22941;802
25000;100;0,9;0,5;0,1;66040;22532;812
25000;100;0,9;0,5;0,2;65726;24657;820
25000;100;0,7;0,1;0,05;55529;24512;719
25000;100;0,7;0,1;0,1;56658;17588;673
25000;100;0,7;0,1;0,2;56415;14948;721
25000;100;0,7;0,3;0,05;57765;24977;761
25000;100;0,7;0,3;0,1;57522;22696;657
25000;100;0,7;0,3;0,2;58141;24398;675
25000;100;0,7;0,5;0,05;57928;24879;868
25000;100;0,7;0,5;0,1;57964;22560;712
25000;100;0,7;0,5;0,2;58025;24458;803
25000;100;0,5;0,1;0,05;49264;5513;644
25000;100;0,5;0,1;0,1;48617;15101;664
25000;100;0,5;0,1;0,2;48198;20591;602
25000;100;0,5;0,3;0,05;48908;21735;632
25000;100;0,5;0,3;0,1;49044;21434;641
25000;100;0,5;0,3;0,2;49497;24669;643
25000;100;0,5;0,5;0,05;50311;23315;735
25000;100;0,5;0,5;0,1;50364;20850;663
25000;100;0,5;0,5;0,2;50467;24138;716
50000;20;0,9;0,1;0,05;25396;37586;745
50000;20;0,9;0,1;0,1;25058;41450;601
50000;20;0,9;0,1;0,2;25273;37347;646
